Tiempo, Cabina1, Cabina2, Cabina3, Cabina4, Cabina5, Cabina6, Cabina7, Cabina8, Cabina9, Cabina10, 
1, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
2, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
3, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
4, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
5, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
6, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
7, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
8, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
9, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
10, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
11, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
12, EJECUTA SQL-8815 NORMAL, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
13, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, vacio, vacio, vacio, vacio, vacio, vacio, vacio, vacio, 
14, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, vacio, vacio, vacio, vacio, vacio, vacio, 
15, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, vacio, vacio, vacio, vacio, vacio, 
16, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, vacio, vacio, vacio, 
17, vacio, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, vacio, 
