Tiempo, Cabina1, Cabina2, Cabina3, Cabina4, Cabina5, 
1, vacio, vacio, vacio, vacio, vacio, 
2, vacio, vacio, vacio, vacio, vacio, 
3, vacio, vacio, vacio, vacio, vacio, 
4, vacio, vacio, vacio, vacio, vacio, 
5, vacio, vacio, vacio, vacio, vacio, 
6, vacio, vacio, vacio, vacio, vacio, 
7, vacio, vacio, vacio, vacio, vacio, 
8, vacio, vacio, vacio, vacio, vacio, 
9, vacio, vacio, vacio, vacio, vacio, 
10, vacio, vacio, vacio, vacio, vacio, 
11, vacio, vacio, vacio, vacio, vacio, 
12, EJECUTA SQL-8815 NORMAL, vacio, vacio, vacio, vacio, 
13, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, vacio, vacio, vacio, 
14, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, vacio, 
15, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, 
16, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, 
17, EJECUTA SAX-5697 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, 
18, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, 
19, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SBK-5138 NORMAL, 
20, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SLB-7072 NORMAL, 
21, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SLB-7072 NORMAL, 
