Tiempo, Cabina1, Cabina2, Cabina3, 
1, vacio, vacio, vacio, 
2, vacio, vacio, vacio, 
3, vacio, vacio, vacio, 
4, vacio, vacio, vacio, 
5, vacio, vacio, vacio, 
6, vacio, vacio, vacio, 
7, vacio, vacio, vacio, 
8, vacio, vacio, vacio, 
9, vacio, vacio, vacio, 
10, ESPERANDO POR SBS-5632 EMERGENCIA, vacio, vacio, 
11, EJECUTA SBS-5632 EMERGENCIA, vacio, vacio, 
12, EJECUTA SBS-5632 EMERGENCIA, vacio, EJECUTA TYC-9071 NORMAL, 
13, EJECUTA SBS-5632 EMERGENCIA, vacio, EJECUTA TYC-9071 NORMAL, 
14, EJECUTA SLJ-0451 NORMAL, EJECUTA SCV-1677 EMERGENCIA, EJECUTA TYC-9071 NORMAL, 
15, EJECUTA SLJ-0451 NORMAL, EJECUTA SCV-1677 EMERGENCIA, vacio, 
16, EJECUTA SLJ-0451 NORMAL, EJECUTA SCV-1677 EMERGENCIA, vacio, 
17, EJECUTA ACF-6859 NORMAL, vacio, vacio, 
18, EJECUTA ACF-6859 NORMAL, vacio, vacio, 
19, EJECUTA ACF-6859 NORMAL, vacio, vacio, 
20, EJECUTA FBE-5382 NORMAL, vacio, vacio, 
21, EJECUTA FBE-5382 NORMAL, vacio, vacio, 
22, EJECUTA FBE-5382 NORMAL, EJECUTA AHN-6303 NORMAL, vacio, 
23, vacio, EJECUTA AHN-6303 NORMAL, vacio, 
24, vacio, EJECUTA AHN-6303 NORMAL, vacio, 
25, vacio, vacio, vacio, 
